T [K],Cp [J kg^-1 K^-1],Cv [J kg^-1 K^-1],gamma,k [W m^-1 K^-1], mu [Pa s]
372.72727272727275,1977.6215204916136,1728.7688982732475,1.1439478824884741,0.03429776449034649,1.1876144116377934e-05
381.81818181818187,2012.98667777321,1764.1340555548438,1.1410621950382895,0.03559986566170014,1.2145831364745402e-05
390.90909090909093,2048.2782481091062,1799.4256258907403,1.1382955864570288,0.03692370264236516,1.2413722090348056e-05
400.0,2083.4532180765996,1834.6005958582336,1.1356440321561934,0.03826858247037672,1.2679991513755396e-05
409.0909090909091,2118.472822645483,1869.620200427117,1.1331033020297467,0.03963368417277056,1.2944714615452757e-05
418.1818181818182,2153.3023992941708,1904.4497770758046,1.130669039012658,0.04101800140920535,1.3207709542681223e-05
427.2727272727273,2187.9112214132665,1939.0585991949004,1.128336824024653,0.04242116386628216,1.3468920195106444e-05
436.3636363636364,2222.272658833909,1973.4200366155433,1.1261022071333346,0.043843356935814155,1.3728516463090706e-05
445.4545454545455,2256.3634639527077,2007.5108417343415,1.1239607861860292,0.04528382984205816,1.3986350677138782e-05
454.54545454545456,2290.1644942614585,2041.311872043092,1.1219081834709053,0.046741381221820075,1.4242452541154839e-05
463.6363636363637,2323.6648393388496,2074.812217120483,1.1199398288505045,0.048214477432739405,1.4496820278239737e-05
472.72727272727275,2356.8646992878494,2108.0120770694834,1.1180508522343553,0.04970488455524674,1.475108081287501e-05
481.81818181818187,2389.7868390120752,2140.9342167937093,1.116235529455478,0.05120996739004754,1.500427567242333e-05
490.90909090909093,2422.4251258839136,2173.5725036655476,1.1144901409079737,0.052728906453309,1.5255998214532633e-05
500.00000000000006,2454.7735871644686,2205.9209649461027,1.1128112140792161,0.054261747825161195,1.5506239853386447e-05
509.0909090909091,2486.8326325888906,2237.9800103705247,1.1111951943561664,0.055807174448111056,1.575467247554436e-05
518.1818181818182,2518.6039844816337,2269.7513622632678,1.1096387147754476,0.05736522289944583,1.6001704679510966e-05
527.2727272727273,2550.0863397124085,2301.2337174940417,1.1081387867414694,0.05893538667412306,1.6247481000158017e-05
536.3636363636364,2581.293999862137,2332.4413776437705,1.1066919085742497,0.060517160289414396,1.6492423954173716e-05
545.4545454545455,2612.2331443869875,2363.380522168621,1.105295198925487,0.06210972032938841,1.6736018793970788e-05
554.5454545454545,2642.90601987273,2394.053397654364,1.1039461452539807,0.0637126265138555,1.697817713808476e-05
563.6363636363637,2673.323710247591,2424.471088029225,1.1026420250779936,0.06532534158180674,1.7219277561907715e-05
572.7272727272727,2703.4893151593765,2454.63669294101,1.1013806332049103,0.0669462718285896,1.7458871060081833e-05
581.8181818181819,2733.4234623384045,2484.570840120038,1.1001591977978553,0.06857783895008018,1.7699173436709514e-05
590.909090909091,2763.1737100431774,2514.321087824811,1.0989740822774763,0.07021741070701464,1.7938602634641005e-05
600.0,2792.743491689283,2543.890869470917,1.0978236233341734,0.07186471635413029,1.817673683200686e-05
609.0909090909091,2822.134366980551,2573.2817447621846,1.096706325580126,0.07351621840486615,1.841384534640177e-05
618.1818181818182,2851.3480763563634,2602.4954541379975,1.0956207711420543,0.07517363386934313,1.8649809800521064e-05
627.2727272727274,2880.3873027158074,2631.5346804974415,1.0945655871695847,0.07683149925476215,1.8885073116690968e-05
636.3636363636364,2909.2727470372483,2660.4201248188824,1.0935388436949625,0.0784779450515466,1.912065726373012e-05
645.4545454545455,2938.0147723043488,2689.162150085983,1.0925390914826052,0.08012800695158898,1.935562332975218e-05
654.5454545454546,2966.6215779019267,2717.7689556835603,1.09156503966165,0.08177799477681857,1.9589115516188058e-05
663.6363636363637,2995.1281596285826,2746.2755374102167,1.0906145864930357,0.08342652437713162,1.982147410036996e-05
672.7272727272727,3023.5416948432994,2774.689072624933,1.0896866696429321,0.08507735006085235,2.005331598127897e-05
681.8181818181819,3051.8788163082368,2803.026194089871,1.088779984554931,0.08671698469719541,2.0284185688041523e-05
690.909090909091,3080.177462614543,2831.324840396177,1.0878926425777216,0.08835525536640586,2.0514848842185425e-05
700.0,3108.4402201452863,2859.5875979269204,1.087023954922302,0.08999359196663964,2.074540053424093e-05
709.0909090909091,3136.6680036278017,2887.8153814094358,1.0861733142015852,0.09163196972202832,2.0975847804557845e-05
718.1818181818182,3164.8617505672055,2916.009128348839,1.0853401382729129,0.09327037279322786,2.120617044205792e-05
727.2727272727274,3193.023450021336,2944.17082780297,1.084523839401013,0.09490877512965235,2.1436367103819978e-05
736.3636363636364,3221.1763530101357,2972.32373079177,1.0837232565350734,0.09654709471861367,2.1666346801364775e-05
745.4545454545455,3249.3298644115052,3000.4772421931393,1.0829376802859774,0.09818553426267566,2.1896212242910213e-05
754.5454545454546,3277.484093078122,3028.6314708597556,1.0821666896790594,0.09982409070141579,2.212598413392894e-05
763.6363636363637,3305.6391307251397,3056.7865085067738,1.0814098797956058,0.10146283164552143,2.2355613328946165e-05
772.7272727272727,3333.795281090984,3084.942658872618,1.080666855023266,0.1031017403276771,2.2585109820934686e-05
781.8181818181819,3361.952536884626,3113.0999146662602,1.079937242311429,0.10474075783966806,2.2814522068349802e-05
790.909090909091,3390.1107391931287,3141.2581169747623,1.0792206857735167,0.10637987189122695,2.3043851671882205e-05
800.0000000000001,3418.2696920178705,3169.4170697995046,1.0785168429203003,0.10801906599553773,2.327310032021821e-05
