T [K],Cp [J kg^-1 K^-1],Cv [J kg^-1 K^-1],gamma,k [W m^-1 K^-1], mu [Pa s]
636.3636363636364,2955.401514806825,2693.2517345114143,1.0973357881612829,0.08046754783481785,1.923381838975778e-05
645.4545454545455,2984.488522924286,2722.338742628874,1.0962957975032388,0.08215039612161136,1.9467765914285863e-05
654.5454545454546,3013.4445371164516,2751.29475682104,1.0952823319440734,0.08383301699653983,1.9700166652526544e-05
663.6363636363637,3042.3067450462854,2780.1569647508736,1.0942931581270998,0.08551399997540222,1.993137408426727e-05
672.7272727272727,3071.082427583618,2808.932647288207,1.0933271862351328,0.08719740577256503,2.0162034335885732e-05
681.8181818181819,3099.7894359621937,2837.6396556667823,1.0923830408740929,0.08886879157616724,2.039166078487755e-05
690.909090909091,3128.469101114687,2866.3193208192756,1.0914586795655696,0.0905387332998624,2.062107924618008e-05
700.0,3157.1238448982576,2894.974064602846,1.0905534123779363,0.09220876220070756,2.085038679047609e-05
709.0909090909091,3185.754267052726,2923.604486757314,1.0896666363329373,0.0938788623178895,2.1079587510682227e-05
718.1818181818182,3214.361010515903,2952.2112302204914,1.088797772195939,0.09554902292426576,2.1308668905238565e-05
727.2727272727274,3242.945491950034,2980.795711654623,1.0879462417603563,0.09721922760255294,2.1537632423523805e-05
736.3636363636364,3271.5242189016403,3009.3744386062285,1.087111054354813,0.0988894118936752,2.1766415394230648e-05
745.4545454545455,3300.103900317687,3037.9541200222757,1.0862915534397501,0.10055972962874674,2.19950864939977e-05
754.5454545454546,3328.684653400665,3066.5348731052536,1.0854872979252805,0.102230179393489,2.2223667781574765e-05
763.6363636363637,3357.2665760089126,3095.1167957135012,1.0846978636342475,0.10390083121023033,2.2452106434622872e-05
772.7272727272727,3385.8499989800443,3123.7002186846325,1.0839228357213488,0.10557166810511553,2.2680413039727014e-05
781.8181818181819,3414.434909312507,3152.2851290170956,1.0831618237456684,0.10724263015196489,2.2908639407256788e-05
790.909090909091,3443.0211260852543,3180.871345789843,1.082414455599529,0.10891370445381775,2.3136787116247723e-05
800.0000000000001,3471.6084271825966,3209.4586468871853,1.0816803732771778,0.11058487356388617,2.3364857841314956e-05
809.0909090909091,3500.196611822797,3238.046831527386,1.0809592306519404,0.1122561222554611,2.3592853180069427e-05
818.1818181818182,3528.7855654375317,3266.6357851421203,1.0802506913956451,0.11392744452794429,2.3820774474324704e-05
827.2727272727274,3557.37530621958,3295.2255259241683,1.0795544275294755,0.1155988485814499,2.404862268227726e-05
836.3636363636364,3585.9659937059396,3323.8162134105282,1.0788701190028862,0.1172703576121613,2.42763983555225e-05
845.4545454545455,3614.557887740302,3352.40810744489,1.078197454454677,0.11894200517199127,2.4504101752182687e-05
854.5454545454546,3643.1512608188696,3381.0014805234587,1.0775361329492301,0.1206138254715578,2.4731733076348713e-05
863.6363636363637,3671.7462855012805,3409.596505205869,1.0768858660827325,0.1222858410831893,2.4959292782099535e-05
872.7272727272727,3700.34293588463,3438.1931555892183,1.0762463795465518,0.1239580524112974,2.5186781832841983e-05
881.8181818181819,3728.9409505010144,3466.791170205603,1.0756174131711154,0.12563043418114925,2.541420178510491e-05
890.909090909091,3757.539895265222,3495.3901149698104,1.0749987187904135,0.12730294313363044,2.56415545931287e-05
900.0000000000001,3786.139333673213,3523.9895533778013,1.0743900560216295,0.12897553747896062,2.586884212199218e-05
909.0909090909091,3814.739058750309,3552.589278454898,1.0737911871448946,0.13064820264874918,2.609606550747976e-05
918.1818181818182,3843.339280854338,3581.1895005589267,1.0732018733592559,0.1323209711044919,2.632322466980037e-05
927.2727272727274,3871.9406271124153,3609.790846817004,1.0726218751777727,0.13399391990478485,2.6550318388096197e-05
936.3636363636365,3900.543837180888,3638.394056885477,1.0720509588012619,0.13566713365986585,2.677734524204305e-05
945.4545454545455,3929.1491847376587,3666.999404442248,1.0714889072460279,0.13734063796502208,2.700430528737353e-05
954.5454545454546,3957.7559327763693,3695.606152480958,1.0709355297829621,0.13901434118306025,2.7231201510814495e-05
963.6363636363637,3986.362458806864,3724.212678511453,1.0703906578182294,0.14068805983797988,2.745803917727829e-05
972.7272727272727,4014.96774062349,3752.817960328079,1.0698541157782386,0.1423617052547376,2.768482113339094e-05
981.8181818181819,4043.573877927175,3781.4240976317633,1.0693256755991987,0.14403557928531954,2.791154040051853e-05
990.909090909091,4072.1855827796426,3810.0358024842308,1.0688050700532745,0.14571026351656247,2.8138183022088232e-05
1000.0,4100.792974047071,3838.643193751659,1.0682923020097637,0.14738440871723454,2.8364783643362794e-05
